station_name,type,lat,lng,time_to_raffles,
Cheng Lim,LRT,1.396332,103.89379,35,
Farmway,LRT,1.397178,103.889168,37,
Kupang,LRT,1.398271,103.881283,38,
Thanggam,LRT,1.397378,103.87561,40,
Fernvale,LRT,1.392033,103.876256,41,
Layar,LRT,1.392141,103.880022,42,
Tongkang,LRT,1.389519,103.885829,38,
Renjong,LRT,1.386827,103.890541,35,
Cove,LRT,1.399534,103.905792,38,
Meridian,LRT,1.397002,103.908884,39,
Coral Edge,LRT,1.39392,103.912633,40,
Riviera,LRT,1.39454,103.916056,42,
Kadaloor,LRT,1.399633,103.916536,43,
Oasis,LRT,1.402304,103.912736,40,
Damai,LRT,1.405293,103.908606,38,
Sam Kee,LRT,1.409808,103.90492,38,
Teck Lee,LRT,1.412783,103.906565,,
Punggol Point,LRT,1.416932,103.90668,42,
Samudera,LRT,1.415955,103.902185,41,
Nibong,LRT,1.411865,103.900321,40,
Sumang,LRT,1.408501,103.898605,38,
Soo Teck,LRT,1.405436,103.897287,37,
Bright Hill,,1.3632,103.8332,35,
Canberra,,1.4433,103.8296,38,
Lentor,,1.3844,103.8368,40,
Mayflower,,1.3726,103.837,37,
Springleaf,,1.3974,103.8185,43,
Upper Thomson,,1.354,103.8338,33,
Woodlands North,,1.4479,103.7854,49,
Woodlands South,,1.4274,103.7931,48,
